Module Resource Usage Distribution Estimates
Generated at: Aug 28, 2026 10:46:04

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
  +u_efx_fifo_top:efx_fifo_top_fb4299887f82483b86b511f19dd21887_renamed_due_excessive_length_6	     106(4)	      10(0)	      82(0)	     0(0)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_fb4299887f82483b86b511f19dd21887(SYNC_CLK=0,RADDR_WIDTH=10,ASYM_WIDTH_RATIO=3,RAM_MUX_RATIO=2,ALMOST_FLAG=0,PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2,HANDSHAKE_FLAG=0)	    102(62)	     10(10)	     82(46)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_fb4299887f82483b86b511f19dd21887(WIDTH=11)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_fb4299887f82483b86b511f19dd21887(STAGE=2,WIDTH=11)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=11)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=10)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=9)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=8)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=7)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=6)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=4)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=3)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
    +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_fb4299887f82483b86b511f19dd21887(WIDTH=10)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
    +genblk7.wr2rd_addr_sync:efx_fifo_datasync_fb4299887f82483b86b511f19dd21887(STAGE=2,WIDTH=10)	     20(20)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=10)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fb4299887f82483b86b511f19dd21887(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
+gps_decoder_inst:gps_decoder                               	   397(331)	      10(0)	   311(261)	     1(0)	     0(0)	
 +u_GPS_FIFO:GPS_FIFO                                       	      66(0)	      10(0)	      50(0)	     1(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_299bcbbe77b846fd9ff9237dee808eb2_renamed_due_excessive_length_7	      66(2)	      10(0)	      50(0)	     1(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_299bcbbe77b846fd9ff9237dee808eb2(WR_DEPTH=128,RD_DEPTH=128,WDATA_WIDTH=1,RDATA_WIDTH=1,WADDR_WIDTH=7,RADDR_WIDTH=7,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     1(1)	     0(0)	
