Module Resource Usage Distribution Estimates
Generated at: Sep 01, 2026 16:26:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
T35_EXTERNAL_TRIGGER_TOP:T35_EXTERNAL_TRIGGER_TOP 	    1149(0)	      33(0)	    2797(0)	     0(0)	     0(0)	
+reset_release_inst:reset_release                 	       8(8)	       0(0)	     10(10)	     0(0)	     0(0)	
+controller_inst:external_trigger_controller      	  1141(593)	      33(0)	 2787(1190)	     0(0)	     0(0)	
 +uart_rx_inst:uart_rx                            	     49(49)	       0(0)	   111(111)	     0(0)	     0(0)	
 +uart_tx_inst:uart_tx                            	     34(34)	       0(0)	     63(63)	     0(0)	     0(0)	
 +trigger_generator_inst:trigger_generator        	   267(267)	     33(33)	   800(800)	     0(0)	     0(0)	
 +trigger_capture_inst:trigger_capture            	   198(198)	       0(0)	   623(623)	     0(0)	     0(0)	
